Feature,Importance
Number_of_vehicles_involved,0.2327690706039942
Number_of_casualties,0.11721267463911865
Hour,0.07956752352444756
Age_band_of_driver_Under 18,0.02819296905202934
Light_conditions_Darkness - no lighting,0.023796937572184713
Day_of_week_Saturday,0.0204395821756651
Age_band_of_driver_Unknown,0.017778870317990445
Light_conditions_Daylight,0.014483382464909123
Weather_conditions_Unknown,0.014176560245823486
Types_of_Junction_Crossing,0.01328982817449807
Area_accident_occured_Residential areas,0.010252479891377085
Types_of_Junction_Other,0.00998695025893081
Type_of_vehicle_Lorry (11?40Q),0.00942977163074643
Types_of_Junction_T Shape,0.00885869626121424
Educational_level_Unknown,0.008697873028981893
Types_of_Junction_Y Shape,0.008681190742223904
Type_of_vehicle_Special vehicle,0.008636046713232572
Type_of_vehicle_Public (> 45 seats),0.007709849761231561
Day_of_week_Sunday,0.007002114457370902
Vehicle_driver_relation_Owner,0.00683076534526997
Owner_of_vehicle_Organization,0.006686091237406742
Types_of_Junction_Unknown,0.006621366817278484
Vehicle_movement_Unknown,0.006463419622324082
Type_of_vehicle_Lorry (41?100Q),0.006437607318697036
Type_of_collision_Collision with pedestrians,0.006433238070482777
Pedestrian_movement_Unknown or other,0.006327169063778694
Road_allignment_Steep grade upward with mountainous terrain,0.0062667239304754095
Weather_conditions_Normal,0.006073143465090418
Day_of_week_Friday,0.0060486096648585015
Vehicle_movement_Getting off,0.005740824119079693
Cause_of_accident_Driving to the left,0.005505860143602814
Road_surface_type_Earth roads,0.0053152471572834635
Driving_experience_5-10yr,0.005084682343313174
Owner_of_vehicle_Owner,0.005002647791538544
Driving_experience_1-2yr,0.00495224105062473
Cause_of_accident_Driving at high speed,0.0048281912838897345
Area_accident_occured_School areas,0.004804518031885456
Vehicle_driver_relation_Employee,0.004792692987803411
Type_of_vehicle_Public (13?45 seats),0.004755857327118704
Area_accident_occured_Unknown,0.004700780252621925
Type_of_vehicle_Other,0.0046707208856820075
Area_accident_occured_ Outside rural areas,0.004585651535574436
Day_of_week_Thursday,0.0045745775347683934
Day_of_week_Monday,0.004506242064332931
Types_of_Junction_No junction,0.0044307951272508595
Educational_level_Illiterate,0.004336458459760424
